table,columns,differing,ok,dE_columns_differing_not_gated
calibration_outcomes/nusc_mono__c0.150000__f0.150000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.150000__f0.450000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.200000__f0.200000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.250000__f0.250000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.300000__f0.300000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.340000__f0.340000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.350000__f0.350000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.400000__f0.400000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.450000__f0.150000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.450000__f0.450000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.498047__f0.498047.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.500000__f0.500000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.550000__f0.550000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.600000__f0.600000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.650000__f0.650000.npz,16,[],True,
calibration_outcomes/nusc_mono__c0.700000__f0.700000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.100000__f0.100000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.150000__f0.150000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.200000__f0.200000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.250000__f0.250000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.300000__f0.300000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.340000__f0.340000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.350000__f0.350000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.400000__f0.400000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.450000__f0.450000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.498047__f0.498047.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.500000__f0.500000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.550000__f0.550000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.600000__f0.600000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.650000__f0.650000.npz,16,[],True,
calibration_outcomes/nusc_oracle__c0.700000__f0.700000.npz,16,[],True,
core_matrix/KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono.pkl,16,[],True,[]
core_matrix/KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono.pkl,16,[],True,[]
core_matrix/KITTI__YOLOv8s__cheap_320tofull_640__mono.pkl,16,[],True,[]
core_matrix/KITTI__YOLOv8s__cheap_320tofull_640__oracle.pkl,16,[],True,[]
core_matrix/KITTI__YOLOv8s__cheap_384tofull_640__mono.pkl,16,[],True,[]
core_matrix/KITTI__YOLOv8s__cheap_512tofull_640__mono.pkl,16,[],True,[]
core_matrix/nuScenes__YOLOv8s__ns_cheap_320tons_full_640__mono.pkl,16,[],True,[]
core_matrix/nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle.pkl,16,[],True,[]
