system,spec,t_cheap,t_full,file,source
brake,kitti_y8_320_mono,0.25,0.25,brake__kitti_y8_320_mono__c0.250000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.25,0.3,brake__kitti_y8_320_mono__c0.250000__f0.300000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.25,0.35,brake__kitti_y8_320_mono__c0.250000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.25,0.45,brake__kitti_y8_320_mono__c0.250000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.25,0.55,brake__kitti_y8_320_mono__c0.250000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.25,0.56396484375,brake__kitti_y8_320_mono__c0.250000__f0.563965.npz,composed from mode builds
brake,kitti_y8_320_mono,0.35,0.15,brake__kitti_y8_320_mono__c0.350000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.35,0.25,brake__kitti_y8_320_mono__c0.350000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.35,0.35,brake__kitti_y8_320_mono__c0.350000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.35,0.45,brake__kitti_y8_320_mono__c0.350000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.35,0.55,brake__kitti_y8_320_mono__c0.350000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.45,0.15,brake__kitti_y8_320_mono__c0.450000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.45,0.25,brake__kitti_y8_320_mono__c0.450000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.45,0.35,brake__kitti_y8_320_mono__c0.450000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.45,0.45,brake__kitti_y8_320_mono__c0.450000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.45,0.55,brake__kitti_y8_320_mono__c0.450000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.55,0.15,brake__kitti_y8_320_mono__c0.550000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.55,0.25,brake__kitti_y8_320_mono__c0.550000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.55,0.35,brake__kitti_y8_320_mono__c0.550000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.55,0.45,brake__kitti_y8_320_mono__c0.550000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.55,0.55,brake__kitti_y8_320_mono__c0.550000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.1,0.35,brake__kitti_y8_320_oracle__c0.100000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.15,0.15,brake__kitti_y8_320_oracle__c0.150000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.15,0.25,brake__kitti_y8_320_oracle__c0.150000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.15,0.35,brake__kitti_y8_320_oracle__c0.150000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.15,0.45,brake__kitti_y8_320_oracle__c0.150000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.15,0.55,brake__kitti_y8_320_oracle__c0.150000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.2,0.35,brake__kitti_y8_320_oracle__c0.200000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.15,brake__kitti_y8_320_oracle__c0.250000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.25,brake__kitti_y8_320_oracle__c0.250000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.3,brake__kitti_y8_320_oracle__c0.250000__f0.300000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.35,brake__kitti_y8_320_oracle__c0.250000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.45,brake__kitti_y8_320_oracle__c0.250000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.55,brake__kitti_y8_320_oracle__c0.250000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.25,0.56396484375,brake__kitti_y8_320_oracle__c0.250000__f0.563965.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.35,0.15,brake__kitti_y8_320_oracle__c0.350000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.35,0.25,brake__kitti_y8_320_oracle__c0.350000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.35,0.35,brake__kitti_y8_320_oracle__c0.350000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.35,0.45,brake__kitti_y8_320_oracle__c0.350000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.35,0.55,brake__kitti_y8_320_oracle__c0.350000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.45,0.15,brake__kitti_y8_320_oracle__c0.450000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.45,0.25,brake__kitti_y8_320_oracle__c0.450000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.45,0.35,brake__kitti_y8_320_oracle__c0.450000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.45,0.45,brake__kitti_y8_320_oracle__c0.450000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.45,0.55,brake__kitti_y8_320_oracle__c0.450000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.55,0.15,brake__kitti_y8_320_oracle__c0.550000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.55,0.25,brake__kitti_y8_320_oracle__c0.550000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.55,0.35,brake__kitti_y8_320_oracle__c0.550000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.55,0.45,brake__kitti_y8_320_oracle__c0.550000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_oracle,0.55,0.55,brake__kitti_y8_320_oracle__c0.550000__f0.550000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.1,0.5,brake__kitti_y8_384_mono__c0.100000__f0.500000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.15,0.15,brake__kitti_y8_384_mono__c0.150000__f0.150000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.15,0.25,brake__kitti_y8_384_mono__c0.150000__f0.250000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.15,0.35,brake__kitti_y8_384_mono__c0.150000__f0.350000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.15,0.45,brake__kitti_y8_384_mono__c0.150000__f0.450000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.15,0.55,brake__kitti_y8_384_mono__c0.150000__f0.550000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.15,brake__kitti_y8_384_mono__c0.250000__f0.150000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.25,brake__kitti_y8_384_mono__c0.250000__f0.250000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.29,brake__kitti_y8_384_mono__c0.250000__f0.290000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.35,brake__kitti_y8_384_mono__c0.250000__f0.350000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.43408203125,brake__kitti_y8_384_mono__c0.250000__f0.434082.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.45,brake__kitti_y8_384_mono__c0.250000__f0.450000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.25,0.55,brake__kitti_y8_384_mono__c0.250000__f0.550000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.35,0.15,brake__kitti_y8_384_mono__c0.350000__f0.150000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.35,0.25,brake__kitti_y8_384_mono__c0.350000__f0.250000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.35,0.35,brake__kitti_y8_384_mono__c0.350000__f0.350000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.35,0.45,brake__kitti_y8_384_mono__c0.350000__f0.450000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.35,0.55,brake__kitti_y8_384_mono__c0.350000__f0.550000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.45,0.15,brake__kitti_y8_384_mono__c0.450000__f0.150000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.45,0.25,brake__kitti_y8_384_mono__c0.450000__f0.250000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.45,0.35,brake__kitti_y8_384_mono__c0.450000__f0.350000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.45,0.45,brake__kitti_y8_384_mono__c0.450000__f0.450000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.45,0.55,brake__kitti_y8_384_mono__c0.450000__f0.550000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.55,0.15,brake__kitti_y8_384_mono__c0.550000__f0.150000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.55,0.25,brake__kitti_y8_384_mono__c0.550000__f0.250000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.55,0.35,brake__kitti_y8_384_mono__c0.550000__f0.350000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.55,0.45,brake__kitti_y8_384_mono__c0.550000__f0.450000.npz,composed from mode builds
brake,kitti_y8_384_mono,0.55,0.55,brake__kitti_y8_384_mono__c0.550000__f0.550000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.15,0.15,brake__kitti_y8_512_mono__c0.150000__f0.150000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.15,0.25,brake__kitti_y8_512_mono__c0.150000__f0.250000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.15,0.35,brake__kitti_y8_512_mono__c0.150000__f0.350000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.15,0.45,brake__kitti_y8_512_mono__c0.150000__f0.450000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.15,0.55,brake__kitti_y8_512_mono__c0.150000__f0.550000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.15,brake__kitti_y8_512_mono__c0.250000__f0.150000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.25,brake__kitti_y8_512_mono__c0.250000__f0.250000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.26,brake__kitti_y8_512_mono__c0.250000__f0.260000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.30078125,brake__kitti_y8_512_mono__c0.250000__f0.300781.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.35,brake__kitti_y8_512_mono__c0.250000__f0.350000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.45,brake__kitti_y8_512_mono__c0.250000__f0.450000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.5,brake__kitti_y8_512_mono__c0.250000__f0.500000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.25,0.55,brake__kitti_y8_512_mono__c0.250000__f0.550000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.3,0.35,brake__kitti_y8_512_mono__c0.300000__f0.350000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.35,0.15,brake__kitti_y8_512_mono__c0.350000__f0.150000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.35,0.25,brake__kitti_y8_512_mono__c0.350000__f0.250000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.35,0.35,brake__kitti_y8_512_mono__c0.350000__f0.350000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.35,0.45,brake__kitti_y8_512_mono__c0.350000__f0.450000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.35,0.55,brake__kitti_y8_512_mono__c0.350000__f0.550000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.45,0.15,brake__kitti_y8_512_mono__c0.450000__f0.150000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.45,0.25,brake__kitti_y8_512_mono__c0.450000__f0.250000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.45,0.35,brake__kitti_y8_512_mono__c0.450000__f0.350000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.45,0.45,brake__kitti_y8_512_mono__c0.450000__f0.450000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.45,0.55,brake__kitti_y8_512_mono__c0.450000__f0.550000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.55,0.15,brake__kitti_y8_512_mono__c0.550000__f0.150000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.55,0.25,brake__kitti_y8_512_mono__c0.550000__f0.250000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.55,0.35,brake__kitti_y8_512_mono__c0.550000__f0.350000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.55,0.45,brake__kitti_y8_512_mono__c0.550000__f0.450000.npz,composed from mode builds
brake,kitti_y8_512_mono,0.55,0.55,brake__kitti_y8_512_mono__c0.550000__f0.550000.npz,composed from mode builds
brake,nusc_mono,0.15,0.15,brake__nusc_mono__c0.150000__f0.150000.npz,composed from mode builds
brake,nusc_mono,0.15,0.25,brake__nusc_mono__c0.150000__f0.250000.npz,composed from mode builds
brake,nusc_mono,0.15,0.35,brake__nusc_mono__c0.150000__f0.350000.npz,composed from mode builds
brake,nusc_mono,0.15,0.45,brake__nusc_mono__c0.150000__f0.450000.npz,composed from mode builds
brake,nusc_mono,0.15,0.55,brake__nusc_mono__c0.150000__f0.550000.npz,composed from mode builds
brake,nusc_mono,0.25,0.15,brake__nusc_mono__c0.250000__f0.150000.npz,composed from mode builds
brake,nusc_mono,0.25,0.25,brake__nusc_mono__c0.250000__f0.250000.npz,composed from mode builds
brake,nusc_mono,0.25,0.34,brake__nusc_mono__c0.250000__f0.340000.npz,composed from mode builds
brake,nusc_mono,0.25,0.35,brake__nusc_mono__c0.250000__f0.350000.npz,composed from mode builds
brake,nusc_mono,0.25,0.4,brake__nusc_mono__c0.250000__f0.400000.npz,composed from mode builds
brake,nusc_mono,0.25,0.45,brake__nusc_mono__c0.250000__f0.450000.npz,composed from mode builds
brake,nusc_mono,0.25,0.498046875,brake__nusc_mono__c0.250000__f0.498047.npz,composed from mode builds
brake,nusc_mono,0.25,0.55,brake__nusc_mono__c0.250000__f0.550000.npz,composed from mode builds
brake,nusc_mono,0.35,0.15,brake__nusc_mono__c0.350000__f0.150000.npz,composed from mode builds
brake,nusc_mono,0.35,0.25,brake__nusc_mono__c0.350000__f0.250000.npz,composed from mode builds
brake,nusc_mono,0.35,0.35,brake__nusc_mono__c0.350000__f0.350000.npz,composed from mode builds
brake,nusc_mono,0.35,0.45,brake__nusc_mono__c0.350000__f0.450000.npz,composed from mode builds
brake,nusc_mono,0.35,0.55,brake__nusc_mono__c0.350000__f0.550000.npz,composed from mode builds
brake,nusc_mono,0.45,0.15,brake__nusc_mono__c0.450000__f0.150000.npz,composed from mode builds
brake,nusc_mono,0.45,0.25,brake__nusc_mono__c0.450000__f0.250000.npz,composed from mode builds
brake,nusc_mono,0.45,0.35,brake__nusc_mono__c0.450000__f0.350000.npz,composed from mode builds
brake,nusc_mono,0.45,0.4,brake__nusc_mono__c0.450000__f0.400000.npz,composed from mode builds
brake,nusc_mono,0.45,0.45,brake__nusc_mono__c0.450000__f0.450000.npz,composed from mode builds
brake,nusc_mono,0.45,0.55,brake__nusc_mono__c0.450000__f0.550000.npz,composed from mode builds
brake,nusc_mono,0.55,0.15,brake__nusc_mono__c0.550000__f0.150000.npz,composed from mode builds
brake,nusc_mono,0.55,0.25,brake__nusc_mono__c0.550000__f0.250000.npz,composed from mode builds
brake,nusc_mono,0.55,0.35,brake__nusc_mono__c0.550000__f0.350000.npz,composed from mode builds
brake,nusc_mono,0.55,0.45,brake__nusc_mono__c0.550000__f0.450000.npz,composed from mode builds
brake,nusc_mono,0.55,0.55,brake__nusc_mono__c0.550000__f0.550000.npz,composed from mode builds
brake,nusc_oracle,0.15,0.15,brake__nusc_oracle__c0.150000__f0.150000.npz,composed from mode builds
brake,nusc_oracle,0.15,0.25,brake__nusc_oracle__c0.150000__f0.250000.npz,composed from mode builds
brake,nusc_oracle,0.15,0.35,brake__nusc_oracle__c0.150000__f0.350000.npz,composed from mode builds
brake,nusc_oracle,0.15,0.45,brake__nusc_oracle__c0.150000__f0.450000.npz,composed from mode builds
brake,nusc_oracle,0.15,0.55,brake__nusc_oracle__c0.150000__f0.550000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.1,brake__nusc_oracle__c0.250000__f0.100000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.15,brake__nusc_oracle__c0.250000__f0.150000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.25,brake__nusc_oracle__c0.250000__f0.250000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.34,brake__nusc_oracle__c0.250000__f0.340000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.35,brake__nusc_oracle__c0.250000__f0.350000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.4,brake__nusc_oracle__c0.250000__f0.400000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.45,brake__nusc_oracle__c0.250000__f0.450000.npz,composed from mode builds
brake,nusc_oracle,0.25,0.498046875,brake__nusc_oracle__c0.250000__f0.498047.npz,composed from mode builds
brake,nusc_oracle,0.25,0.55,brake__nusc_oracle__c0.250000__f0.550000.npz,composed from mode builds
brake,nusc_oracle,0.35,0.15,brake__nusc_oracle__c0.350000__f0.150000.npz,composed from mode builds
brake,nusc_oracle,0.35,0.25,brake__nusc_oracle__c0.350000__f0.250000.npz,composed from mode builds
brake,nusc_oracle,0.35,0.35,brake__nusc_oracle__c0.350000__f0.350000.npz,composed from mode builds
brake,nusc_oracle,0.35,0.45,brake__nusc_oracle__c0.350000__f0.450000.npz,composed from mode builds
brake,nusc_oracle,0.35,0.55,brake__nusc_oracle__c0.350000__f0.550000.npz,composed from mode builds
brake,nusc_oracle,0.45,0.15,brake__nusc_oracle__c0.450000__f0.150000.npz,composed from mode builds
brake,nusc_oracle,0.45,0.25,brake__nusc_oracle__c0.450000__f0.250000.npz,composed from mode builds
brake,nusc_oracle,0.45,0.35,brake__nusc_oracle__c0.450000__f0.350000.npz,composed from mode builds
brake,nusc_oracle,0.45,0.45,brake__nusc_oracle__c0.450000__f0.450000.npz,composed from mode builds
brake,nusc_oracle,0.45,0.55,brake__nusc_oracle__c0.450000__f0.550000.npz,composed from mode builds
brake,nusc_oracle,0.55,0.15,brake__nusc_oracle__c0.550000__f0.150000.npz,composed from mode builds
brake,nusc_oracle,0.55,0.25,brake__nusc_oracle__c0.550000__f0.250000.npz,composed from mode builds
brake,nusc_oracle,0.55,0.35,brake__nusc_oracle__c0.550000__f0.350000.npz,composed from mode builds
brake,nusc_oracle,0.55,0.45,brake__nusc_oracle__c0.550000__f0.450000.npz,composed from mode builds
brake,nusc_oracle,0.55,0.55,brake__nusc_oracle__c0.550000__f0.550000.npz,composed from mode builds
traj,kitti_y8_320_mono,0.25,0.25,traj__kitti_y8_320_mono__c0.250000__f0.250000.npz,20260925_074651_shared_history_phase0/Y8_320to640__mono__S0.pkl
traj,kitti_y8_320_mono,0.25,0.56396484375,traj__kitti_y8_320_mono__c0.250000__f0.563965.npz,20260925_074651_shared_history_phase0/Y8_320to640__mono__S1.pkl
traj,kitti_y8_320_mono,0.2,0.35,traj__kitti_y8_320_mono__c0.200000__f0.350000.npz,20260925_074651_shared_history_phase0/Y8_320to640__mono__S2.pkl
traj,kitti_y8_320_mono,0.25,0.3,traj__kitti_y8_320_mono__c0.250000__f0.300000.npz,20260925_074651_shared_history_phase0/Y8_320to640__mono__S3.pkl
traj,kitti_y8_384_mono,0.25,0.25,traj__kitti_y8_384_mono__c0.250000__f0.250000.npz,20260925_074651_shared_history_phase0/Y8_384to640__mono__S0.pkl
traj,kitti_y8_384_mono,0.25,0.43408203125,traj__kitti_y8_384_mono__c0.250000__f0.434082.npz,20260925_074651_shared_history_phase0/Y8_384to640__mono__S1.pkl
traj,kitti_y8_384_mono,0.25,0.35,traj__kitti_y8_384_mono__c0.250000__f0.350000.npz,20260925_074651_shared_history_phase0/Y8_384to640__mono__S2.pkl
traj,kitti_y8_384_mono,0.25,0.29,traj__kitti_y8_384_mono__c0.250000__f0.290000.npz,20260925_074651_shared_history_phase0/Y8_384to640__mono__S3.pkl
traj,kitti_y8_512_mono,0.25,0.25,traj__kitti_y8_512_mono__c0.250000__f0.250000.npz,20260925_074651_shared_history_phase0/Y8_512to640__mono__S0.pkl
traj,kitti_y8_512_mono,0.25,0.30078125,traj__kitti_y8_512_mono__c0.250000__f0.300781.npz,20260925_074651_shared_history_phase0/Y8_512to640__mono__S1.pkl
traj,kitti_y8_512_mono,0.3,0.35,traj__kitti_y8_512_mono__c0.300000__f0.350000.npz,20260925_074651_shared_history_phase0/Y8_512to640__mono__S2.pkl
traj,kitti_y8_512_mono,0.25,0.26,traj__kitti_y8_512_mono__c0.250000__f0.260000.npz,20260925_074651_shared_history_phase0/Y8_512to640__mono__S3.pkl
traj,kitti_rt_480_mono,0.25,0.25,traj__kitti_rt_480_mono__c0.250000__f0.250000.npz,20260925_074651_shared_history_phase0/RT_480to640__mono__S0.pkl
traj,kitti_rt_480_mono,0.25,0.252685546875,traj__kitti_rt_480_mono__c0.250000__f0.252686.npz,20260925_074651_shared_history_phase0/RT_480to640__mono__S1.pkl
traj,kitti_rt_480_mono,0.5,0.55,traj__kitti_rt_480_mono__c0.500000__f0.550000.npz,20260925_074651_shared_history_phase0/RT_480to640__mono__S2.pkl
traj,kitti_y8_320_oracle,0.25,0.25,traj__kitti_y8_320_oracle__c0.250000__f0.250000.npz,20260925_074651_shared_history_phase0/Y8_320to640__oracle__S0.pkl
traj,kitti_y8_320_oracle,0.25,0.56396484375,traj__kitti_y8_320_oracle__c0.250000__f0.563965.npz,20260925_074651_shared_history_phase0/Y8_320to640__oracle__S1.pkl
traj,kitti_y8_320_oracle,0.2,0.35,traj__kitti_y8_320_oracle__c0.200000__f0.350000.npz,20260925_074651_shared_history_phase0/Y8_320to640__oracle__S2.pkl
traj,kitti_y8_320_oracle,0.25,0.3,traj__kitti_y8_320_oracle__c0.250000__f0.300000.npz,20260925_074651_shared_history_phase0/Y8_320to640__oracle__S3.pkl
