group,figure,cell,statistic,old,new,delta
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,comparisons,52,52,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,argmax differs,40,40,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,"Kendall tau between the rankings, median",0.1999999999999999,0.1999999999999999,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,"selection regret, median nDG",-0.0890155089899845,-0.07903859283213525,0.00997691615784925
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,"selection regret, median share of the all-cheap loss",-0.0056318789093049,-0.0056318789093049,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,the E_perc winner is worse than random on decision value,20,20,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,regret intervals excluding zero,0,0,0.0
4 trivial heuristics of the core matrix,core matrix,nuScenes mono longitudinal,best trivial heuristic,speed + detections,speed + detections,
4 trivial heuristics of the core matrix,core matrix,nuScenes mono longitudinal,its nDG@20%,0.2827809748063506,0.2851500574518046,0.0023690826454539904
4 trivial heuristics of the core matrix,core matrix,nuScenes mono lateral,best trivial heuristic,n detections,n detections,
4 trivial heuristics of the core matrix,core matrix,nuScenes mono lateral,its nDG@20%,0.298206542643117,0.298206542643117,0.0
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle longitudinal,best trivial heuristic,ego speed,ego speed,
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle longitudinal,its nDG@20%,0.3165455538919865,0.3030488964798059,-0.013496657412180646
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle lateral,best trivial heuristic,n detections,n detections,
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle lateral,its nDG@20%,0.3331669444698717,0.3331669444698717,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono longitudinal,median per-sequence nDG,0.0,0.0,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono longitudinal,sequences above 0.5,7,8,1.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono longitudinal,Wilcoxon p (oracle > policy),6.204043465709108e-08,9.515150944453333e-08,3.311107478744225e-08
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono lateral,median per-sequence nDG,0.1,0.0454545454545454,-0.054545454545454605
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono lateral,sequences above 0.5,3,2,-1.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono lateral,Wilcoxon p (oracle > policy),0.0085740162507294,0.0056553355372143,-0.0029186807135150993
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle longitudinal,median per-sequence nDG,0.0,0.0,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle longitudinal,sequences above 0.5,4,6,2.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle longitudinal,Wilcoxon p (oracle > policy),5.15663108226611e-06,1.591460021934594e-05,1.0757969137079829e-05
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle lateral,median per-sequence nDG,0.0,0.0,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle lateral,sequences above 0.5,1,1,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle lateral,Wilcoxon p (oracle > policy),0.0169474267623446,0.0169474267623446,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle brake,nDG@20% of ego speed,0.2084726460629292,0.2084726460629292,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle brake,nDG@20% of random,0.14740272998202053,0.14740272998202053,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle brake,ego speed above random,True,True,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono brake,nDG@20% of ego speed,0.1475455259560173,0.1475455259560173,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono brake,nDG@20% of random,0.13007232967175456,0.13007232967175456,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono brake,ego speed above random,True,True,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle plan_ade,nDG@20% of ego speed,-0.0207808220821678,-0.0207808220821678,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle plan_ade,nDG@20% of random,-0.00581607072770557,-0.00581607072770557,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle plan_ade,ego speed above random,False,False,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono plan_ade,nDG@20% of ego speed,-0.0150854885770765,-0.0150854885770765,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono plan_ade,nDG@20% of random,0.09224147137252524,0.09224147137252524,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono plan_ade,ego speed above random,False,False,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle plan_fde,nDG@20% of ego speed,0.0239721092367207,0.0239721092367207,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle plan_fde,nDG@20% of random,0.059129469825502164,0.059129469825502164,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle plan_fde,ego speed above random,False,False,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono plan_fde,nDG@20% of ego speed,0.0065818768953703,0.0065818768953703,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono plan_fde,nDG@20% of random,0.0797070253576951,0.0797070253576951,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes mono plan_fde,ego speed above random,False,False,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,all tracks,rows where ego speed beats random,10,10,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,all tracks,which rows,KITTI mono brake @20%; KITTI mono brake @30%; KITTI mono brake @50%; KITTI oracle brake @20%; KITTI oracle brake @30%; KITTI oracle brake @50%; KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%; nuScenes oracle brake @50%,KITTI mono brake @20%; KITTI mono brake @30%; KITTI mono brake @50%; KITTI oracle brake @20%; KITTI oracle brake @30%; KITTI oracle brake @50%; KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%; nuScenes oracle brake @50%,
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,all tracks,rows won at the 10% quota,0,0,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,all tracks,rows won at the 20% quota,2,2,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,all tracks,rows won at the 30% quota,3,3,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,all tracks,rows won at the 50% quota,5,5,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,comparisons,52,52,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,argmax differs,43,43,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,"Kendall tau between the rankings, median",0.17142857142857135,0.17142857142857135,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,"selection regret, median nDG",-0.0952365131068818,-0.0952365131068818,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,"selection regret, median share of the all-cheap loss",-0.00523761224395285,-0.00523761224395285,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,the E_perc winner is worse than random on decision value,15,15,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_dE,regret intervals excluding zero,5,5,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,comparisons,52,52,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,argmax differs,40,40,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,"Kendall tau between the rankings, median",0.1999999999999999,0.1999999999999999,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,"selection regret, median nDG",-0.07903859283213525,-0.07903859283213525,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,"selection regret, median share of the all-cheap loss",-0.0056318789093049,-0.0056318789093049,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,the E_perc winner is worse than random on decision value,20,20,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",13 defined cells x 4 budgets,E_perc_risk,regret intervals excluding zero,0,0,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes mono longitudinal,best trivial heuristic,speed + detections,speed + detections,
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes mono longitudinal,its nDG@20%,0.2851500574518046,0.2851500574518046,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes mono lateral,best trivial heuristic,n detections,n detections,
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes mono lateral,its nDG@20%,0.298206542643117,0.298206542643117,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes oracle longitudinal,best trivial heuristic,ego speed,ego speed,
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes oracle longitudinal,its nDG@20%,0.3030488964798059,0.3030488964798059,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes oracle lateral,best trivial heuristic,n detections,n detections,
"6 sensitivity: a scene's first frame dropped, not zeroed",core matrix,nuScenes oracle lateral,its nDG@20%,0.3331669444698717,0.3331669444698717,0.0
