quantity_id,description,artifact_file,track,geometry,system,target,split,units_scope,quota_or_budget,signal_or_policy,estimate,ci_lo,ci_hi,interval_method,n_units,n_affected,denominator,notes
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|cheap_precision,"CHEAP precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.6755037115588547,,,none (a count or a point value),24,46,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|cheap_recall,"CHEAP recall at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.3295093971198438,,,none (a count or a point value),24,46,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|cheap_det_per_frame,"CHEAP det per frame at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",1.974869109947644,,,none (a count or a point value),24,46,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|full_precision,"FULL precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.6160157531998687,,,none (a count or a point value),24,46,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|full_recall,"FULL recall at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.4915792042958262,,,none (a count or a point value),24,46,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|full_det_per_frame,"FULL det per frame at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",3.1905759162303666,,,none (a count or a point value),24,46,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|sign_disagreement_exact_FN,"share of frames where perception gain exact_FN and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.3333333333333333,,,none (a count or a point value),24,46,frames where both the gain and V are non-zero,n = 27
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|sign_disagreement_FN_FP,"share of frames where perception gain FN_FP and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.4857142857142857,,,none (a count or a point value),24,46,frames where both the gain and V are non-zero,n = 35
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|sign_disagreement_E5_combined,"share of frames where perception gain E5_combined and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.4318181818181818,,,none (a count or a point value),24,46,frames where both the gain and V are non-zero,n = 44
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|sign_disagreement_E_risk,"share of frames where perception gain E_risk and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.3333333333333333,,,none (a count or a point value),24,46,frames where both the gain and V are non-zero,n = 24
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|harm_rate,"harm rate: harmed among affected inputs (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.39285714285714285,0.29935447108779817,0.4888888888888889,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",85,196,affected inputs (V != 0),"77 harmed of 196 affected, 3376 inputs"
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|harm_ratio,"harm ratio rho = sum of harm / sum of benefit (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.5389490576214673,0.25388925731100037,0.971323657068179,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",85,196,gross benefit of escalation (sum of positive V),
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|all_full_reduction,"loss reduction, uniform escalation (all FULL) (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.08719072939227583,,,none (a count or a point value),85,196,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|oracle20_reduction,"loss reduction, oracle at 20% (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.18911300547931775,,,none (a count or a point value),85,196,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|cheap_precision,"CHEAP precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.6541266350272023,,,none (a count or a point value),85,196,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|cheap_recall,"CHEAP recall at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.3439406900484745,,,none (a count or a point value),85,196,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|cheap_det_per_frame,"CHEAP det per frame at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",2.5589454976303316,,,none (a count or a point value),85,196,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|full_precision,"FULL precision at t = 0.498047 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.7643901324805847,,,none (a count or a point value),85,196,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|full_recall,"FULL recall at t = 0.498047 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.4099230111206159,,,none (a count or a point value),85,196,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|full_det_per_frame,"FULL det per frame at t = 0.498047 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",2.593601895734597,,,none (a count or a point value),85,196,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|sign_disagreement_exact_FN,"share of frames where perception gain exact_FN and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.3238095238095238,,,none (a count or a point value),85,196,frames where both the gain and V are non-zero,n = 105
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|sign_disagreement_FN_FP,"share of frames where perception gain FN_FP and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.2945205479452055,,,none (a count or a point value),85,196,frames where both the gain and V are non-zero,n = 146
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|sign_disagreement_E5_combined,"share of frames where perception gain E5_combined and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.3473684210526316,,,none (a count or a point value),85,196,frames where both the gain and V are non-zero,n = 190
cal|nuScenes oracle Y8 320->640 q_brake|S1|all|sign_disagreement_E_risk,"share of frames where perception gain E_risk and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.33653846153846156,,,none (a count or a point value),85,196,frames where both the gain and V are non-zero,n = 104
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|harm_rate,"harm rate: harmed among affected inputs (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.40816326530612246,0.19990196078431374,0.6086956521739131,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",24,49,affected inputs (V != 0),"20 harmed of 49 affected, 955 inputs"
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|harm_ratio,"harm ratio rho = sum of harm / sum of benefit (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.4454886431891581,0.181612022023218,1.0166513337805476,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",24,49,gross benefit of escalation (sum of positive V),
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|all_full_reduction,"loss reduction, uniform escalation (all FULL) (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.09938883498896535,,,none (a count or a point value),24,49,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|oracle20_reduction,"loss reduction, oracle at 20% (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.17923678887404532,,,none (a count or a point value),24,49,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|cheap_precision,"CHEAP precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.6755037115588547,,,none (a count or a point value),24,49,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|cheap_recall,"CHEAP recall at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.3295093971198438,,,none (a count or a point value),24,49,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|cheap_det_per_frame,"CHEAP det per frame at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",1.974869109947644,,,none (a count or a point value),24,49,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|full_precision,"FULL precision at t = 0.498047 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.7731134432783608,,,none (a count or a point value),24,49,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|full_recall,"FULL recall at t = 0.498047 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.4068830851842812,,,none (a count or a point value),24,49,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|full_det_per_frame,"FULL det per frame at t = 0.498047 (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",2.095287958115183,,,none (a count or a point value),24,49,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|sign_disagreement_exact_FN,"share of frames where perception gain exact_FN and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.27586206896551724,,,none (a count or a point value),24,49,frames where both the gain and V are non-zero,n = 29
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|sign_disagreement_FN_FP,"share of frames where perception gain FN_FP and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.29411764705882354,,,none (a count or a point value),24,49,frames where both the gain and V are non-zero,n = 34
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|sign_disagreement_E5_combined,"share of frames where perception gain E5_combined and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.375,,,none (a count or a point value),24,49,frames where both the gain and V are non-zero,n = 48
cal|nuScenes oracle Y8 320->640 q_brake|S1|test|sign_disagreement_E_risk,"share of frames where perception gain E_risk and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S1)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S1 (t_c 0.25, t_f 0.498047)",0.2857142857142857,,,none (a count or a point value),24,49,frames where both the gain and V are non-zero,n = 28
cal|nuScenes oracle Y8 320->640 q_brake|S2|all|harm_rate,"harm rate: harmed among affected inputs (nuScenes oracle Y8 320->640 q_brake, S2)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S2 (t_c 0.25, t_f 0.4)",0.3864734299516908,0.2911233293260731,0.47340489772844074,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",85,207,affected inputs (V != 0),"80 harmed of 207 affected, 3376 inputs"
cal|nuScenes oracle Y8 320->640 q_brake|S2|all|harm_ratio,"harm ratio rho = sum of harm / sum of benefit (nuScenes oracle Y8 320->640 q_brake, S2)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S2 (t_c 0.25, t_f 0.4)",0.3908317602786469,0.16959977818609695,0.7117269984487742,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",85,207,gross benefit of escalation (sum of positive V),
cal|nuScenes oracle Y8 320->640 q_brake|S2|all|all_full_reduction,"loss reduction, uniform escalation (all FULL) (nuScenes oracle Y8 320->640 q_brake, S2)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S2 (t_c 0.25, t_f 0.4)",0.12863899837537127,,,none (a count or a point value),85,207,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S2|all|oracle20_reduction,"loss reduction, oracle at 20% (nuScenes oracle Y8 320->640 q_brake, S2)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S2 (t_c 0.25, t_f 0.4)",0.21117154504675734,,,none (a count or a point value),85,207,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S2|all|cheap_precision,"CHEAP precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S2)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S2 (t_c 0.25, t_f 0.4)",0.6541266350272023,,,none (a count or a point value),85,207,detections,
