check,where,mode,threshold,columns_compared,columns_differing,ok,metrics,columns
C1,nusc_oracle__c0.500000__f0.500000.npz,ns_cheap_320,0.5,6.0,{},True,,
C1,nusc_oracle__c0.500000__f0.500000.npz,ns_full_640,0.5,6.0,{},True,,
C1,nusc_oracle__c0.550000__f0.550000.npz,ns_cheap_320,0.55,6.0,{},True,,
C1,nusc_oracle__c0.550000__f0.550000.npz,ns_full_640,0.55,6.0,{},True,,
C1,nusc_oracle__c0.600000__f0.600000.npz,ns_cheap_320,0.6,6.0,{},True,,
C1,nusc_oracle__c0.600000__f0.600000.npz,ns_full_640,0.6,6.0,{},True,,
C1,nusc_oracle__c0.650000__f0.650000.npz,ns_cheap_320,0.65,6.0,{},True,,
C1,nusc_oracle__c0.650000__f0.650000.npz,ns_full_640,0.65,6.0,{},True,,
C1,nusc_oracle__c0.700000__f0.700000.npz,ns_cheap_320,0.7,6.0,{},True,,
C1,nusc_oracle__c0.700000__f0.700000.npz,ns_full_640,0.7,6.0,{},True,,
C3,nusc_oracle__c0.250000__f0.250000.npz,,,,[],True,,25.0
C3,nusc_mono__c0.250000__f0.250000.npz,,,,[],True,,25.0
